Designator,Footprint,Quantity,Value,LCSC Part #
BT1,Keystone-3034TR-MFG,1,CR2032,
C1,0805,1,1u,
"C2, C4, C5, C6, C7",0805,5,0.1u,
D1,SOT-23,1,BAT54C,
D2,SOT-23-3,1,PMEG2005CT_215,
D3,SOT-23,1,BSS138,
J1,LOOPY_Cart_Edge,1,~,
R1,0805,1,1K2,
R10,0805,1,2K2,
"R11, R3, R4, R8",0805,4,100K,
R12,0805,1,10K,
"R13, R2, R6, R9",0805,4,1K,
"R14, R5",0805,2,100K,DNP
U1,TSOP-I-56_18.4x14mm_P0.5mm-HandSolder,1,LH28F320SKTD-L70,
U2,SOIC127P1410X300-32N,1,AS6C1008-55SIN,
U3,SOT-23-5,1,SN74LVC1G04,
U4,RP2040-Tiny,1,RP2040-Tiny,
"U5, U6, U7",SSOP-28_5.3x10.2mm_P0.65mm,3,MCP23S17T-E/SS,
